text,intent,category
Paid 450 rupees for electricity bill,add_expense,
How much did I spend on groceries?,show_by_category,
Won 800 in a competition,add_income,
add 2150 received from part-time job on 19 April,add_income,
show me april expenses,show_by_month,
give me february spending,show_by_month,
expenses for march,show_by_month,
I want to see where my money went,show_expenses,
thanks,thank_you,
Display all spending,show_expenses,
Expenses for rent,show_by_category,
add 2296 received from scholarship on 24 February,add_income,
Show me all expenses,show_expenses,
Spent anything on food?,show_by_category,
record 869 spent on entertainment dated 26 November,add_expense,
show my spending for December,show_by_month,
Earned 700 rupees from tutoring,add_income,
Show me all expenses,show_expenses,
income of 2661 from freelancing on 11 December,add_income,
Give me the expense record,show_expenses,
Expenses for travel,show_by_category,
Got 600 for participating in a college event,add_income,
How much did I spend on travel?,show_by_category,
Expenses for rent,show_by_category,
march balance details,show_by_month,
My uncle gave me 1200 rupees,add_income,
July spending summary,show_by_month,
Show my rent expenses,show_by_category,
show me april expenses,show_by_month,
Give me the expense record,show_expenses,
show me april expenses,show_by_month,
income of 2187 from dad on 25 October,add_income,
march balance details,show_by_month,
what did I spend in january,show_by_month,
Won a quiz and got 500 rupees,add_income,
record 879 earned from dad on 26 February,add_income,
appreciate it,thank_you,
How much did I spend on stationery?,show_by_category,
record 834 spent on transport dated 08 November,add_expense,
Give me the expense record,show_expenses,
add 1582 received from scholarship on 10 March,add_income,
How much did I spend on clothing?,show_by_category,
add 1183 received from dad on 28 March,add_income,
I want to check my expenses,show_expenses,
add 2636 received from freelancing on 08 November,add_income,
what did I spend in january,show_by_month,
rent expense of 384 added on 01 November,add_expense,
record 321 earned from scholarship on 04 March,add_income,
what did I spend in january,show_by_month,
April balance,show_by_month,
expenses for march,show_by_month,
show me april expenses,show_by_month,
record 582 spent on food dated 13 January,add_expense,
good morning,greeting,
how much did I spend on food,show_by_category,
give me february spending,show_by_month,
Spent anything on groceries?,show_by_category,
I ordered food online for 650 rupees,add_expense,
rent expense of 556 added on 10 November,add_expense,
Spent anything on clothing?,show_by_category,
spent on outings,show_by_category,
appreciate it,thank_you,
Bought some fruits for 180 rupees,add_expense,
record 459 spent on entertainment dated 24 December,add_expense,
expenses for books,show_by_category,
Show my rent expenses,show_by_category,
hello,greeting,
add 1529 received from dad on 10 March,add_income,
take care,goodbye,
add 292 received from freelancing on 06 February,add_income,
record 465 spent on transport dated 22 December,add_expense,
transport expense of 700 added on 06 January,add_expense,
thanks,thank_you,
expenses of March,show_by_month,
how much did I spend in april,show_by_month,
how much did I spend in april,show_by_month,
food expense of 361 added on 13 April,add_expense,
add 323 for fees on 21 November,add_expense,
How much did I spend on groceries?,show_by_category,
add 1103 received from part-time job on 10 December,add_income,
How much did I spend on food?,show_by_category,
march balance details,show_by_month,
Show all my spending history,show_expenses,
How much did I spend on rent?,show_by_category,
Give me the expense record,show_expenses,
record 2595 earned from freelancing on 30 November,add_income,
income of 2492 from freelancing on 13 December,add_income,
fees expense of 458 added on 06 March,add_expense,
expenses for books,show_by_category,
Movie night cost 500 rupees,add_expense,
fees expense of 738 added on 04 December,add_expense,
I used 160 rupees on breakfast,add_expense,
how much did I spend on food,show_by_category,
expenses for march,show_by_month,
give me february spending,show_by_month,
give me february spending,show_by_month,
give me february spending,show_by_month,
appreciate it,thank_you,
Display all spending,show_expenses,
what did I spend in january,show_by_month,
march balance details,show_by_month,
add 991 for rent on 23 October,add_expense,
Expenses for miscellaneous,show_by_category,
fees expense of 101 added on 05 December,add_expense,
show my spending for December,show_by_month,
Expenses for travel,show_by_category,
category wise expense for travel,show_by_category,
show me april expenses,show_by_month,
What are my past expenses?,show_expenses,
march balance details,show_by_month,
entertainment expense of 244 added on 02 February,add_expense,
June expenses,show_by_month,
expenses for march,show_by_month,
expenses for march,show_by_month,
Expenses till now?,show_expenses,
thank you,thank_you,
Show my miscellaneous expenses,show_by_category,
add 191 for food on 28 October,add_expense,
Show me all expenses,show_expenses,
Can you show my expenses?,show_expenses,
record 154 spent on fees dated 28 January,add_expense,
add 1168 received from part-time job on 18 March,add_income,
add 495 for fees on 26 March,add_expense,
Expenses for miscellaneous,show_by_category,
expenses for march,show_by_month,
record 390 earned from freelancing on 03 March,add_income,
I want to see where my money went,show_expenses,
record 2886 earned from freelancing on 22 October,add_income,
Paid 400 rupees for laundry,add_expense,
I earned 500 from a freelance job,add_income,
record 2674 earned from part-time job on 13 March,add_income,
entertainment expense of 716 added on 17 February,add_expense,
goodbye,goodbye,
Spent anything on entertainment?,show_by_category,
Expenses till now?,show_expenses,
how much did I spend in april,show_by_month,
Show my miscellaneous expenses,show_by_category,
List down all expenses,show_expenses,
show all September expenses,show_by_month,
I want to check my expenses,show_expenses,
march balance details,show_by_month,
April balance,show_by_month,
category wise expense for travel,show_by_category,
transport expense of 823 added on 21 December,add_expense,
expenses for march,show_by_month,
What are my past expenses?,show_expenses,
Give me the expense record,show_expenses,
Bought cosmetics worth 950,add_expense,
income of 981 from dad on 10 February,add_income,
Expenses for travel,show_by_category,
July spending summary,show_by_month,
what did I spend in january,show_by_month,
add 2670 received from dad on 14 April,add_income,
record 1720 earned from scholarship on 24 November,add_income,
"All expenses, please",show_expenses,
Show all my spending history,show_expenses,
transport expense of 62 added on 12 April,add_expense,
income of 1972 from part-time job on 21 February,add_income,
List down all expenses,show_expenses,
Show my rent expenses,show_by_category,
record 486 spent on entertainment dated 18 April,add_expense,
add 822 for food on 03 February,add_expense,
income of 138 from freelancing on 05 February,add_income,
show me april expenses,show_by_month,
